#Name	RA	Dec	B	V	R	I	J	H	K	L	M	N
 HD 225016  	0.655417	-19.4425	-99.999	11.30	-99.999	-99.999	5.13	4.17	3.92	3.74	-99.999	-99.999
 HD 225023  	0.690833	35.8156	7.7	 7.52	-99.999	-99.999	7.07	6.98	6.96	6.94	-99.999	-99.999
 HD 225082  	0.831667	55.6842	-99.999	 8.70	-99.999	-99.999	-99.999	-99.999	1.27	-99.999	-99.999	-99.999
 HD 225094  	0.857083	63.6408	6.56	 6.22	5.9	5.67	5.43	5.31	5.29	5.18	5.43	-99.999
 HD 225095  	0.862917	55.5506	7.89	 7.91	-99.999	-99.999	-99.999	7.79	7.75	-99.999	-99.999	-99.999
 HD 225146  	0.98875	61.1031	8.96	 8.60	-99.999	-99.999	-99.999	-99.999	7.67	7.72	-99.999	-99.999
 HD 225160  	1.01458	62.2217	8.46	 8.19	-99.999	-99.999	-99.999	-99.999	7.33	7.07	-99.999	-99.999
 HD 225217  	1.15125	43.5514	10.5	 8.00	-99.999	-99.999	3.99	2.86	2.41	1.85	-99.999	-99.999
 HD 225239  	1.21	34.6583	6.74	 6.11	5.56	5.18	4.84	4.49	4.43	-99.999	-99.999	-99.999
 HD     20  	1.31292	-27.2717	-99.999	 9.40	-99.999	-99.999	7.71	7.33	7.26	-99.999	-99.999	-99.999
 HD     28  	1.33375	-5.70889	5.65	 4.61	3.83	3.29	2.89	2.31	2.21	2.16	2.18	-99.999
 HD     26  	1.33875	8.78861	9.29	 8.25	7.49	7.03	6.62	-99.999	6.06	5.92	-99.999	5.43
 HD     66  	1.36667	-42.8872	-99.999	 9.10	-99.999	-99.999	3.37	2.42	2.18	1.99	-99.999	-99.999
 HD    108  	1.51333	63.6797	7.58	 7.40	-99.999	-99.999	6.9	6.8	6.67	6.33	6.01	5.55
 HD    151  	1.55833	-32.8158	-99.999	 9.20	-99.999	-99.999	4.88	3.98	3.75	3.42	-99.999	-99.999
 HD    144  	1.61	64.1961	5.56	 5.59	-99.999	-99.999	5.2	5.57	5.66	-99.999	-99.999	-99.999
 HD    178  	1.64833	-32.5925	-99.999	10.40	-99.999	-99.999	2.94	1.95	1.66	1.43	-99.999	-99.999
 HD    180  	1.64875	-37.7758	-99.999	11.60	-99.999	-99.999	4.23	4.24	2.97	2.79	-99.999	-99.999
 SY  SCL    	1.895	-25.485	-99.999	12.15	-99.999	-99.999	4.11	3.12	2.55	2.01	-99.999	-99.999
 HD    315  	1.93292	-2.54806	6.29	 6.43	-99.999	-99.999	6.72	6.74	6.81	6.77	6.21	-99.999
 HD    358  	2.09458	29.0928	1.95	 2.06	2.09	2.19	2.3	2.33	2.37	2.37	2.41	2.46
 HD    393  	2.12083	-25.9778	-99.999	10.50	-99.999	-99.999	4.54	3.57	3.33	3.16	-99.999	-99.999
 HD    432  	2.28208	59.1522	2.61	 2.27	1.97	1.77	1.63	1.43	1.44	1.35	-99.999	-99.999
 HD    480A 	2.28458	-50.1664	-99.999	 7.06	-99.999	-99.999	7.27	7.36	7.39	7.34	-99.999	-99.999
