#Name	RA	Dec	U	B	V
-405109323	3677.83	-51.3858	10.72	11.52	11.200
-405108561	3553.09	-52.2689	12.76	12.55	12.140
-405108555	3552.27	-52.1795	12.23	12.08	11.610
-405108549	3551.17	-52.1185	13.36	12.29	11.080
-405108547	3550.89	-52.0553	12.45	12.26	11.810
-405108546	3550.94	-52.3204	11.86	11.67	11.260
-405108544	3550.86	-52.2871	12.7	12.66	12.220
-405108537	3549.69	-52.3445	12.67	12.61	12.050
-405108536	3549.36	-52.2914	12.22	11.95	11.170
-405108515	3545.39	-51.994	13.31	12.23	10.830
-405108508	3544.43	-51.9954	11.61	11.42	11.110
-405108501	3544.03	-52.3066	13.12	12.72	11.860
-405108499	3543.38	-52.1853	11.97	11.8	11.460
-405103283	2340.48	-52.586	9.95	10.59	10.500
-404303285	2038.41	-44.3124	11.96	12.28	11.500
-404303088	1997.38	-44.2046	11.2	11.59	10.920
-404303006	1981.27	-44.0199	12.09	12.15	11.130
-404302871	1955.68	-43.9126	11.96	12.34	11.720
-404202880	1966.64	-43.1675	11.53	11.8	11.100
-404107746	3804.34	-41.6542	8.79	9.47	 9.240
-404107717	3802.57	-41.6499	9.8	10.4	10.210
-404107625	3779.01	-41.5951	12.483	12.395	11.876
-404002559	1913.18	-41.0855	11.77	11.98	11.400
-402202386	1709.22	-22.8775	9.72	10.36	10.010
-402102364	1706.18	-22.0911	10.31	10.7	10.200
-401906854	4160.59	-19.3319	9.67	10.31	10.200
-207700622	3134.37	-77.8014	11.05	10.19	 8.760
-206007777	4896.53	-59.9991	12.1	11.46	10.550
-205901774	1792.18	-60.2997	12.405	11.275	 9.930
-205807734	4585.12	-58.2857	13.198	12.038	10.590
-205800562	619.946	-58.3784	10.8	9.89	 8.850
-205800540	598.106	-57.5839	12.26	11.99	11.230
-205708545	5038.33	-57.2206	13.405	12.235	10.780
-205607638	4321.58	-55.8688	13.851	12.751	11.310
-205509220	5180.67	-54.5037	13.44	13.19	12.330
-202213916	4367.14	-22.0622	13.45	12.3	10.890
-202213408	4254.5	-22.5813	12.246	11.126	10.046
-202203005	1432.11	-22.7233	13.43	12.2	10.760
-202200526	346.638	-21.9051	13.905	12.705	11.210
-202200457	299.208	-22.2411	10.93	10.81	10.140
-008900023	1102.01	-89.347	13.35	11.33	 9.710
-008800138	4044.25	-89.206	11.15	11.14	10.620
-008500060	1083.05	-85.1783	9.81	10	 9.480
-008500055	1063.5	-84.8111	-99.999	9.84	 9.300
-008300018	210.75	-82.6137	10.51	10.33	 9.620
-008200743	4255.23	-82.418	11.13	11.28	10.780
-008100382	2212.81	-81.9523	11.7	11.25	10.460
-008000349	2116.31	-80.5226	10.518	10.656	10.100
-008000328	2059.82	-81.1635	10.506	10.666	10.078
-007900923	3966.94	-79.3426	10.98	10.72	10.380
-007801119	0	0	-99.999	10.94	10.260
-007800417	2060.11	-78.803	11.81	11.65	11.420
-007800356	1921.81	-78.6431	11.22	11.08	10.860
-007800205	1296.31	-78.3831	-99.999	9.97	 9.160
-007701404	4524.92	-77.3386	-99.999	11.15	 9.860
-007700638	2407.13	-78.184	11.58	10.82	 9.800
-007700542	2173.19	-78.0982	11.74	11.77	11.160
-007700156	895.612	-76.8808	-99.999	11.1	10.680
-007700145	827.068	-77.22	-99.999	10.67	10.600
-007700144	825.721	-76.9399	-99.999	11.46	10.350
-007700137	794.242	-77.1002	-99.999	10.97	 9.880
-007601416	4625.08	-76.255	-99.999	11.45	10.530
-007601372	4486.38	-76.4623	-99.999	11.37	10.080
-007601313	4328.17	-76.6373	9.22	10.04	10.190
-007600708	2712.75	-77.2804	-99.999	10.55	 9.330
-007600678	2612.34	-77.5047	-99.999	10.8	10.460
-007600652	2502.55	-77.6354	12.429	11.799	10.655
-007600583	2110.78	-77.0706	11.92	11.38	10.350
-007600580	2087.8	-77.1863	11.507	11.255	10.606
-007600579	2087.36	-77.163	12.837	11.208	 9.734
-007600264	932.703	-76.6076	-99.999	10.82	 9.190
-007600253	866.567	-76.3879	-99.999	11	 9.670
-007600246	841.705	-75.9499	-99.999	11.12	10.550
-007600052	111.438	-75.7733	12.08	11.39	10.460
-007501570	4526.03	-74.8239	-99.999	10.85	10.460
-007501197	3505.86	-75.6683	8.64	9.44	 9.510
-007500813	2801.38	-75.7556	11.538	10.658	 9.503
-007500781	2728.73	-75.9322	-99.999	11.17	10.470
-007500772	2697.95	-76.0506	-99.999	11.24	10.900
-007500584	2129.62	-76.1291	10.18	9.98	 9.280
-007500504	1907.11	-76.2519	11.28	11.21	11.090
-007500264	952.805	-75.3602	-99.999	10.31	 9.970
-007500255	882.486	-75.1298	-99.999	10.63	10.110
-007500252	872.989	-75.4068	-99.999	10.64	 9.940
-007500215	680.467	-75.4873	10.71	10.66	10.050
-007500121	397.838	-74.7998	10.81	10.79	10.310
-007500101	349.836	-74.571	12.74	12.14	11.230
-007500099	345.663	-74.647	10.95	10.94	10.430
-007401910	4607.16	-74.2382	-99.999	10.81	 9.870
-007401887	4571.5	-73.934	-99.999	10.98	10.870
-007401880	4544.94	-74.4584	-99.999	11.06	10.020
-007401872	4530.55	-74.2907	-99.999	10.64	10.050
-007401864	4513.46	-73.7538	11.276	10.516	 9.562
-007401860	4504.99	-74.5594	-99.999	10.75	10.210
-007401569	3790.63	-74.5385	8.97	9.98	10.150
-007401448	3525.75	-75.0833	9.357	8.664	 7.700
-007401221	3309.71	-74.8636	9.9	10.21	10.170
-007401182	3264.9	-74.7582	9.65	10.23	10.240
-007400872	2715.75	-75.5836	11.65	11.41	10.994
-007400859	2681.83	-75.013	-99.999	11.22	10.830
-007400827	2600.99	-75.5352	-99.999	11.328	 9.824
-007400311	1115.96	-74.3788	-99.999	10.52	 9.380
-007400309	1108.95	-74.2246	-99.999	10.91	10.530
-007400295	1027.93	-73.9512	-99.999	11.18	 9.700
-007400293	1009.65	-74.7169	-99.999	10.99	10.480
-007400283	931.372	-73.9611	-99.999	10.6	 9.400
-007400282	900.392	-74.4467	-99.999	11.06	10.160
-007400277	865.775	-74.595	-99.999	10.65	10.300
-007400252	776.281	-73.7904	-99.999	10.93	10.460
-007400130	400.775	-73.5836	11.1	11.06	10.460
-007400107	345.598	-74.3026	11.67	10.79	 9.760
-007302155	4634.13	-73.2137	-99.999	11.47	10.210
-007302115	4555.94	-73.5275	-99.999	10.53	10.240
-007302093	4514.11	-73.6247	-99.999	11.6	10.580
-007302017	0	0	9.72	9.43	 8.690
-007300453	1686.6	-73.3789	15.06	14.55	12.970
-007300086	339.66	-73.0301	11.84	11.74	11.140
-007300083	335.149	-72.9746	11.13	11.17	10.770
-007300077	312.897	-72.4292	11.26	10.71	 9.810
-007300076	305.305	-72.9746	10.23	10.13	 9.520
-007300044	165.048	-72.3636	-99.999	10.133	 9.760
-007300041	143.135	-73.1923	-99.999	10.396	 9.890
