#DM	RA	Dec	U	B1	B	B2	V2	V1	V	G
+44.04548 	1.28708	45.79	13.325	12.306	10.859	11.905	-99.999	10.796	 9.977	10.798
+44.04550 	1.28708	45.2233	7.426	6.725	5.837	7.304	-99.999	7.404	 6.702	7.88
          	1.28583	38.29	13.253	12.518	11.127	12.193	-99.999	11.435	10.629	11.466
-01.04525 	1.28083	0.509722	8.966	8.104	6.734	7.839	-99.999	7.088	 6.308	7.262
-29.18957 	1.30208	-29.2097	12.154	11.913	10.903	12.291	-99.999	12.033	11.321	12.398
-52.12251 	1.2975	-52.1597	8.543	8.311	7.258	8.589	-99.999	8.269	 7.526	8.58
+07.05128 	1.33167	8.79028	10.207	9.82	8.563	9.746	-99.999	8.997	 8.219	9.206
-06.06357 	1.33	-5.70972	7.049	6.297	4.971	6.105	-99.999	5.4	 4.622	5.581
+45.04408 	1.36292	45.8233	11.45	10.509	9.048	10.061	-99.999	9.059	 8.217	9.025
-26.16904 	1.3525	-25.9764	14.696	14.01	12.522	13.622	-99.999	12.889	12.095	12.942
-30.19827 	1.35167	-30.2931	10.506	10.047	9.082	10.495	-99.999	10.426	 9.701	10.825
-68.03597 	1.33875	-67.8264	10.903	10.25	8.857	9.949	-99.999	9.276	 8.476	9.345
+43.04627 	1.41292	44.4733	9.144	8.652	7.698	9.123	-99.999	9.077	 8.356	9.486
+42.04831 	1.41292	43.39	7.593	8.065	7.284	8.898	-99.999	9.152	 8.461	9.688
+12.05063 	1.4325	13.4067	7.522	6.94	5.712	6.904	-99.999	6.305	 5.546	6.543
-30.19834 	1.42625	-29.9597	10.678	10.305	9.337	10.746	-99.999	10.622	 9.902	11.01
-52.12254 	1.44542	-52.2764	12.77	12.112	10.777	11.916	-99.999	11.28	10.502	11.423
-23.18137 	1.4775	-22.8597	12.479	12.101	10.947	12.166	-99.999	11.681	10.932	11.92
-29.18961 	1.47625	-29.0931	12.473	12.23	11.203	12.513	-99.999	12.166	11.454	12.494
-30.19837 	1.47625	-30.0764	11.484	11.249	10.221	11.572	-99.999	11.275	10.541	11.592
-42.16587 	1.47333	-41.7597	8.532	8.307	7.256	8.578	-99.999	8.241	 7.503	8.551
+62.02363 	1.52292	63.6733	6.97	7.402	6.579	8.119	-99.999	8.075	 7.355	8.483
-21.28065 	1.49458	-53.4097	14.622	14.037	12.8	13.991	-99.999	13.415	12.648	13.596
+57.02865 	1.545	58.44	7.309	6.982	5.865	7.148	-99.999	6.736	 5.979	7.01
-29.18963 	1.55083	-28.4764	10.997	10.759	9.744	11.112	-99.999	10.821	10.087	11.159
-29.18964 	1.55083	-29.1597	8.211	7.746	6.883	8.413	-99.999	8.587	 7.887	9.096
-49.14337 	1.54542	-49.0764	6.65	6.376	5.348	6.697	-99.999	6.419	 5.690	6.755
+63.02107 	1.59958	64.1733	5.826	5.416	4.576	6.116	-99.999	6.266	 5.563	6.75
-20.06720 	1.6025	-20.0597	10.979	10.515	9.653	11.174	-99.999	11.342	10.653	11.855
-41.00001 	1.5975	-41.0431	13.85	13.267	11.972	13.138	-99.999	12.534	11.758	12.686
+28.04704 	1.63625	29.04	7.602	7.232	6.077	7.324	-99.999	6.86	 6.099	7.113
          	1.63167	5.82333	13.348	12.644	11.281	12.381	-99.999	11.753	10.968	11.877
-21.06537 	1.70167	-21.0767	10.844	10.65	9.617	10.949	-99.999	10.604	 9.864	10.909
-23.00004 	1.70125	-23.1097	6.961	6.654	5.67	7.068	-99.999	6.895	 6.169	7.264
-04.06025 	1.73	-3.62667	9.205	9.003	7.965	9.302	-99.999	8.957	 8.222	9.276
-31.00003 	1.72458	-30.3764	12.917	12.702	11.626	12.954	-99.999	12.542	11.805	12.831
-31.00006 	1.72458	-30.6097	10.974	10.709	9.717	11.112	-99.999	10.933	10.211	11.303
-31.00010 	1.77417	-30.5767	9.244	8.647	7.743	9.232	-99.999	9.335	 8.638	9.823
-07.06153 	1.82917	-7.12667	11.036	10.42	9.518	10.994	-99.999	11.106	10.411	11.594
-18.06428 	1.82708	-17.3933	6.983	6.298	5.387	6.856	-99.999	6.895	 6.191	7.345
-42.00003 	1.82042	-41.8931	9.263	9.047	7.998	9.331	-99.999	8.965	 8.223	9.269
-21.28003 	1.81708	-49.8097	15.83	15.114	13.636	14.704	-99.999	13.778	12.962	13.789
-26.00008 	1.85	-25.36	7.878	7.625	6.638	8.019	-99.999	7.779	 7.045	8.126
+33.00003 	1.88917	34.34	10.237	9.642	8.396	9.581	-99.999	8.959	 8.178	9.161
-24.00008 	1.87542	-23.8267	10.234	9.899	8.718	9.954	-99.999	9.453	 8.695	9.681
-30.00006 	1.89875	-30.2933	11.338	11.102	10.114	11.506	-99.999	11.283	10.549	11.629
-29.00009 	1.92375	-28.9267	12.136	11.84	10.814	12.142	-99.999	11.842	11.107	12.154
-39.00010 	1.92083	-38.6933	10.044	9.503	8.6	10.075	-99.999	10.156	 9.449	10.617
-45.00007 	1.91833	-45.1267	9.336	9.008	7.947	9.265	-99.999	8.926	 8.190	9.245
-05.00003 	1.95458	-4.84333	10.095	9.894	8.845	10.178	-99.999	9.817	 9.075	10.122
-23.00013 	1.95042	-22.51	6.688	6.045	5.124	6.582	-99.999	6.621	 5.919	7.083
-29.00012 	1.99833	-28.8267	12.145	11.889	10.878	12.234	-99.999	11.948	11.217	12.283
-30.00010 	2.02292	-30.0433	10.541	10.095	9.138	10.546	-99.999	10.463	 9.740	10.86
-34.00017 	2.02167	-33.5433	8.384	7.499	6.121	7.219	-99.999	6.45	 5.668	6.617
-03.00003 	2.055	-2.44333	9.223	8.335	6.896	7.966	-99.999	6.938	 6.122	6.992
+28.00004 	2.08875	29.09	1.866	1.834	0.986	2.559	-99.999	2.786	 2.075	3.296
          	2.07958	-5.24333	13.012	12.938	11.907	13.265	-99.999	12.891	12.153	13.195
-09.00005 	2.07875	-8.82667	8.352	7.638	6.323	7.47	-99.999	6.764	 5.991	6.957
-29.00015 	2.07333	-28.5267	12.537	12.412	11.396	12.762	-99.999	12.435	11.694	12.76
-38.00011 	2.06958	-38.26	10.917	10.721	9.703	11.061	-99.999	10.731	 9.993	11.039
-86.00002 	1.9	-86.0433	7.729	7.261	6.411	7.943	-99.999	8.09	 7.394	8.577
-44.00012 	2.11667	-44.2767	10.633	10.039	9.098	10.545	-99.999	10.573	 9.869	11.028
+35.00008 	2.16667	36.6233	7.121	6.883	5.873	7.237	-99.999	6.966	 6.225	7.309
-18.00003 	2.15125	-17.5767	10.482	8.896	7.22	8.188	-99.999	6.879	 6.053	6.907
+36.00004 	2.2175	37.19	9.599	9.136	8.144	9.526	-99.999	9.42	 8.692	9.803
+24.00003 	2.21292	25.4567	8.466	7.803	6.53	7.698	-99.999	7.027	 6.260	7.236
+58.00003 	2.25667	59.1567	3.265	2.729	1.741	3.154	-99.999	3.019	 2.279	3.399
+27.00003 	2.23917	28.24	7.37	6.776	5.806	7.22	-99.999	7.191	 6.471	7.603
-25.00022 	2.22333	-25.1267	15.005	14.209	12.724	13.739	-99.999	12.761	11.932	12.712
+17.00007 	2.26083	18.2233	8.054	7.254	5.922	7.05	-99.999	6.343	 5.567	6.529
-30.00019 	2.24667	-29.9267	10.888	10.659	9.654	11.028	-99.999	10.771	10.037	11.11
