#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-04-28T15:02:45 [V7.296]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	version=7.296	
#INFO	-ref=VIZ644bdffe11d3b8	
#INFO	-out.max=99999	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=99999
#-nav=cat:VIII/99&tab:{VIII/99/radio}&key:source=VIII/99/radio&HTTPPRM:&
#-source=VIII/99/radio
#-order=I
#-out=Seq
#-out=Freq
#-out=l_Smax
#-out=Smax
#-out=l_Smin
#-out=Smin
#-out=r_Smax
#-out=Notes
#

#RESOURCE=yCat_8099
#Name: VIII/99
#Title: Catalogue of Radio Stars (Wendker, 2001)
#Table	VIII_99_radio:
#Name: VIII/99/radio
#Title: Radio data
#Column	Seq	(I4)	[1/3699] Star number, as in file "stars"	[ucd=meta.record]
#Column	Freq	(I6)	Frequency of radio measurement	[ucd=em.freq]
#Column	l_Smax	(A1)	Limit flag on Smax	[ucd=meta.code.error]
#Column	Smax	(F10.3)	Maximum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	l_Smin	(A1)	Limit flag on Smin	[ucd=meta.code.error]
#Column	Smin	(F10.3)	Minimum Flux at Freq	[ucd=phot.flux.density;em.radio]
#Column	r_Smax	(I4)	? Reference of Fluxes (details in "refs.dat") [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Notes	(a56)	Remarks and notes about the radio flux	[ucd=meta.note]
Seq	Freq	l_Smax	Smax	l_Smin	Smin	r_Smax	Notes
 	MHz	 	mJy	 	mJy	 	
----	------	-	----------	-	----------	----	--------------------------------------------------------
   1	  4885	<	     0.150	 	     0.000	1264	  10/92;
   1	 10690	<	     5.000	 	     0.000	 155	  06/73;
   2	  2290	<	    45.000	<	    54.000	 549	  2 obs. 07/82-01/83; same data in (618);
   2	  4885	 	     0.150	 	     0.000	 323	  10/79;
   2	  8420	<	    23.000	<	    45.000	 549	  2 obs. 07/82-01/83; same data in (618);
   2	250000	<	    15.000	 	     0.000	 950	  12/86-01/87;
   3	250000	<	    15.000	 	     0.000	 950	  12/87-01/88;
   4	  8440	 	     0.180	 	     0.000	 953	  01/93; same data in (1097);
   5	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87;
   6	  4885	<	     0.900	 	     0.000	 470	  12/83;
   6	  4885	<	     0.220	 	     0.000	 738	  11/84;
   6	250000	<	    15.000	 	     0.000	 950	  03/89;
   7	  4860	<	     1.000	 	     0.000	 678	  09/86-03/87; both comp.;
   8	  2695	<	    30.000	 	     0.000	  51	  /71;
   8	  4860	<	     0.810	 	     0.000	 692	  /?;
   8	  4885	<	     0.230	 	     0.000	 638	  11/84;
   8	  4995	<	     5.000	 	     0.000	  91	  06/73;
   8	  8085	<	    30.000	 	     0.000	  51	  /71;
   8	 10600	<	    45.000	 	     0.000	 351	  72-79;
   8	 10680	<	    10.000	 	     0.000	  91	  04/73;
   8	 10690	<	    10.000	 	     0.000	 155	  05/73;
   8	 14965	 	     0.400	 	     0.000	 638	  11/84;
   8	 22500	<	    70.000	 	     0.000	 563	  02/78;
   9	  4885	<	     0.300	 	     0.000	 424	  08/81;
  10	  4885	<	     0.340	 	     0.000	 425	  10/81;
  11	 31400	<	   110.000	 	     0.000	 293	  01/77;
  11	230000	 	    44.000	 	     0.000	1058	  12/93;
  12	  4885	<	     0.160	 	     0.000	 738	  11/84;
  13	  2380	<	     9.000	 	     0.000	 504	  3 obs. 01-04/80;
  13	  4860	<	     0.230	 	     0.000	 656	  02/86;
  13	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
  14	  8440	<	     0.170	 	     0.000	1039	  06/93-02/94;
  15	  4860	<	     0.120	 	     0.000	 778	  05/88;
  15	  4885	<	     0.500	 	     0.000	 337	  08/80;
  15	  5000	<	     5.000	 	     0.000	 220	  10-11/76;
  16	  8400	<	     5.100	 	     0.000	 714	  11 obs. 02/87-07/88;
  17	  4760	<	     0.120	 	     0.000	 869	  02/90;
  17	230000	<	    19.000	<	    73.000	 986	  08/92; comp.B and A;
  17	250000	 	     9.200	 	     0.000	 950	  03/89;
  18	230000	 	    12.000	 	     0.000	1058	  12/93;
  19	  2695	<	     9.000	 	     0.000	 212	  /75;
  19	  4885	<	     0.100	 	     0.000	 698	  10/87;
  19	  4885	<	     0.100	 	     0.000	 752	  05/89;
  19	  8085	<	     9.000	 	     0.000	 212	  /75;
  19	  8400	<	     0.090	 	     0.000	 752	  05/89;
  19	 10600	<	    25.000	 	     0.000	 203	  02/73;
  20	  4885	<	     0.440	 	     0.000	 611	  12/84;
  20	  8440	<	     0.090	 	     0.000	 952	  02/90;
  20	 10600	<	    30.000	 	     0.000	 351	  72-79;
  20	 10690	<	     5.000	 	     0.000	 155	  07/73;
  20	 31490	<	   180.000	 	     0.000	 293	  10/76;
  20	109800	<	    13.500	 	     0.000	1226	  01-02/92;
  20	230000	 	   236.000	 	     0.000	1035	  04-12/93;
  20	230000	<	    69.000	 	     0.000	1058	  12/93;
  20	230000	 	   810.000	 	     0.000	1291	  02/97; value calculated from author's formula (1);
  20	236000	<	    36.000	 	     0.000	1297	  02/95-03/97; no separation from extended emission;
  20	275000	 	   226.000	 	     0.000	1035	  04-12/93;
  20	275000	 	   550.000	 	     0.000	1041	  03/94;
  20	275000	 	   190.000	 	     0.000	1274	  ?/92;
  20	350000	 	   520.000	 	     0.000	1035	  04-12/93;
  20	375000	 	   643.000	 	     0.000	1035	  04-12/93;
  20	375000	 	   250.000	 	     0.000	1041	  06/94;
  21	 10600	<	    30.000	 	     0.000	 351	  72-79;
  21	 10690	<	     5.000	 	     0.000	 155	  07/73;
  21	109800	<	    13.500	 	     0.000	1226	  01-02/92;
  21	230000	 	   105.000	 	     0.000	1035	  04-12/93;
  21	230000	 	    38.000	 	     0.000	1058	  12/93;
  21	236000	<	    36.000	 	     0.000	1297	  02/95-03/97; no separation from extended emission;
