IRASPSC	d	err	RA	Dec	Source
00042+4248	704.63	176.157	1.71981579614638	43.083990769224	Gaia DR3 384627240623604864
00084-1851	637.017	159.254	2.74135835483667	-18.5730917699129	Gaia DR3 2366204140290386816
00121-1912	304.728	76.182	3.65994615645296	-18.9331897986529	Gaia DR3 2365464065885835904
00192-2020	370.853	92.7133	5.44309657449073	-20.0580763229317	Gaia DR3 2362083445587361152
00193-4033	1202.16	300.54	5.4476076831668	-40.2876343045179	Gaia DR3 4997070998651580416
00205+5530	380.701	95.1753	5.8096204494988	55.7925311463774	Gaia DR3 421412815180931456
00213+3817	561.097	140.274	6.00801619273423	38.5769015106481	Gaia DR3 379224622734044800
00245-0652	596.783	149.196	6.77681312752682	-6.60476753975474	Gaia DR3 2430761175240186112
00247+6922	1230.94	307.735	6.92131877539126	69.6476321075528	Gaia DR3 530117956400199680
00254-1156	532.385	133.096	7.00245360880397	-11.6588688638335	Gaia DR3 2423949288390214784
00254-3317	295.639	73.9098	6.98196788636417	-33.0073856352927	Gaia DR3 2315550051916217856
00428+6854	1451.96	362.99	11.5007451450455	69.1815823786725	Gaia DR3 529907571724946688
00439+1512	311.471	77.8678	11.6371773692093	15.4752879508083	Gaia DR3 2781184739422799232
01037+1219	593.728	148.432	16.6082832157739	12.598026775575	Gaia DR3 2584587112574459264
01069+3521	220.61	55.1525	17.4329583333333	35.6203611111111	01 09 43.91 +35 37 13.3
01085+3022	1236.32	309.08	17.8163932239325	30.6350673162665	Gaia DR3 310135125973772160
01150+5732	600.574	150.143	19.5577930416241	57.8031628573862	Gaia DR3 413463586628312448
01159+7220	778.938	194.734	19.9249446866546	72.6113541505248	Gaia DR3 535066514639376896
01217+6049	1202.07	300.517	21.2591126066021	61.0780978707451	Gaia DR3 510684260179213440
01246-3248	554.484	138.621	21.7420094257365	-32.5433145127799	Gaia DR3 5016138145186249088
01261-4334	418.155	104.539	22.0912612743135	-43.3191541367058	Gaia DR3 4935615308047192576
01304+6211	1162.15	290.538	23.463375	62.4481388888889	01 33 51.21 +62 26 53.3
01438+1850	732.476	183.119	26.6472315275011	19.0845667677778	Gaia DR3 95252169783194752
01472+5329	782.768	195.692	27.6220177035617	53.742762757546	Gaia DR3 408423013003015680
01516-4632	377.251	94.3127	28.4108240201775	-46.3030548110017	Gaia DR3 4942522955488925696
01556+4511	323.302	80.8255	29.6849358968025	45.4352618690481	Gaia DR3 355808770274360960
01579-0845	434.238	108.559	30.1121437930295	-8.52394229316763	Gaia DR3 2463219858004414592
02000+0726	543.986	135.996	30.6611878529044	7.67665979519108	Gaia DR3 2569378117982410112
02143+4404	563.686	140.922	34.3873374753859	44.3049213945862	Gaia DR3 351930930201512832
02168-0312	175.256	43.814	34.8367083333333	-2.97775	02 19 20.81 -02 58 39.9
02185+5622	1046.16	261.54	35.5287222856727	56.6041314179639	Gaia DR3 458284937619681664
02192+5821	763.599	190.9	35.7154597089225	58.5865042354402	Gaia DR3 459101393719884800
02234-0024	1486.68	371.67	36.5097132976931	-0.17826630160976	Gaia DR3 2500056899148910336
02251+5102	1165.05	291.262	37.1225607839074	51.2714353642053	Gaia DR3 451708896005208832
02270-6944	524.48	131.12	36.9450200963613	-69.5238359160715	Gaia DR3 4693488382160219008
02302+4525	528.716	132.179	38.3698187850568	45.6544923414205	Gaia DR3 341798827472181504
02316+6455	782.941	195.735	38.93622355743	65.1496895251881	Gaia DR3 516010603746128768
02327+3428	392.293	98.0733	38.9452328473428	34.6873326077579	Gaia DR3 135039063187620864
02351-2711	760.844	190.211	39.3461238157481	-26.9784335169659	Gaia DR3 5070498859055954176
02427-5430	601.418	150.355	41.0614953457244	-54.3011554447547	Gaia DR3 4741355998831911424
02455-1240	628.094	157.024	41.9829945229219	-12.460853543737	Gaia DR3 5158832592439126272
02464-5915	677.735	169.434	41.9375255420146	-59.0510547018156	Gaia DR3 4726136077844517248
02469+5646	1037.58	259.395	42.6578878260559	56.9834072042234	Gaia DR3 460621159304139008
02497-0828	655.766	163.941	43.0591004474619	-8.26713294044533	Gaia DR3 5174275095812173184
02522-5005	379.96	94.99	43.4707623398139	-49.8894884106989	Gaia DR3 4748477123328077696
02532+5426	725.954	181.488	44.2324765934724	54.643240559811	Gaia DR3 453431315325950848
02596+0353	228.676	57.169	45.57	4.0895	03 02 16.80 +04 05 22.2
03019+3838	220.526	55.1315	46.2956666666667	38.8401666666667	03 05 10.96 +38 50 24.6
03030+5532	868.442	217.111	46.6969436152077	55.7331564270675	Gaia DR3 459552193479656320
