RA	Dec	JP11	LID	n_LID	U	B	V	R	I	J	K	L	M	N	H	ref	_RA	_DE
040.1786322	+01.1986756	     1	 0.00000444	 	      	      	      	      	      	      	 6.560	      	      	      	 6.640	8130	040.17863	+01.19868
040.1786322	+01.1986756	     1	 0.00000444	 	      	      	      	      	      	      	 6.560	      	      	      	 6.640	8130	040.17863	+01.19868
282.6058333	+00.7916667	     3	 0.00004030	 	15.340	12.920	10.440	 8.140	 6.350	 5.270	 3.780	 3.500	      	      	 4.100	8057	282.60583	+00.79167
284.3898333	+00.4555250	     4	 0.00004064	 	13.570	11.450	 8.870	 6.490	 4.660	 3.510	 2.020	 1.640	      	      	 2.390	8057	284.38983	+00.45552
102.0877761	+01.2189728	     5	 0.00101522	 	      	      	      	      	      	      	 6.120	 6.100	      	      	 6.280	8140	102.08778	+01.21897
102.0877761	+01.2189728	     5	 0.00101522	 	      	      	      	      	      	      	 6.190	      	      	      	 6.320	8140	102.08778	+01.21897
157.2314650	+00.8409997	     7	 0.00102447	 	12.340	11.150	 9.630	 8.130	 6.880	 6.090	 5.370	      	      	      	      	8008	157.23146	+00.84100
157.2314650	+00.8409997	     7	 0.00102447	 	12.370	11.170	 9.640	 8.140	 6.890	 6.290	 5.540	 5.430	      	      	 5.640	8075	157.23146	+00.84100
157.2314650	+00.8409997	     7	 0.00102447	 	      	      	      	      	      	      	 5.370	      	      	      	 5.600	8130	157.23146	+00.84100
157.2314650	+00.8409997	     7	 0.00102447	 	      	      	      	      	      	 6.160	 5.330	      	      	      	 5.550	8134	157.23146	+00.84100
157.2314650	+00.8409997	     7	 0.00102447	 	      	      	      	      	      	 6.190	 5.330	      	      	      	 5.600	8149	157.23146	+00.84100
357.3021956	+02.4012228	    12	 0.00104774	 	11.560	10.480	 8.980	 7.600	 6.380	 5.920	 5.150	 4.830	      	      	 5.420	8075	357.30220	+02.40122
357.3021956	+02.4012228	    12	 0.00104774	 	      	      	      	      	      	      	 5.050	 4.800	      	      	 5.250	8130	357.30220	+02.40122
357.3021956	+02.4012228	    12	 0.00104774	 	      	      	      	      	      	 5.840	 5.050	 4.860	      	      	 5.260	8134	357.30220	+02.40122
033.0874508	+03.5756197	    15	 0.00200348	 	      	      	      	      	      	 6.795	 6.035	      	      	      	 6.215	8149	033.08745	+03.57562
103.3638792	+01.8731528	    16	 0.00201451	 	13.300	11.440	 9.200	 7.250	 5.700	 4.730	 3.310	 3.000	      	      	 3.630	8057	103.36388	+01.87315
262.8469056	+01.9758803	    17	 0.00203336	 	13.340	11.310	 9.400	 8.120	 7.140	 6.240	 5.120	 4.560	      	      	      	8007	262.84691	+01.97588
269.4520761	+04.6934014	    17	 0.00403561	 	12.570	11.280	 9.540	 7.710	 6.100	 5.500	 4.640	      	      	      	      	8004	269.45208	+04.69340
269.4520761	+04.6934014	    17	 0.00403561	 	12.570	11.280	 9.540	 7.710	 6.030	 5.450	 4.530	 4.170	      	      	      	8008	269.45208	+04.69340
269.4520761	+04.6934014	    17	 0.00403561	 	      	      	      	      	      	      	 4.540	 4.200	      	      	 4.780	8130	269.45208	+04.69340
269.4520761	+04.6934014	    17	 0.00403561	 	      	      	      	      	      	 5.270	 4.490	 4.230	      	      	 4.750	8134	269.45208	+04.69340
269.4520761	+04.6934014	    17	 0.00403561	 	      	      	      	      	      	 5.300	 4.500	 4.180	      	      	 4.770	8149	269.45208	+04.69340
279.0095875	+05.1077861	    23	 0.00403804	V	      	      	      	      	      	      	 5.640	      	      	      	 5.860	8140	279.00959	+05.10779
279.0095875	+05.1077861	    23	 0.00403804	V	      	      	      	      	      	      	 5.820	 5.700	      	      	 6.040	8140	279.00959	+05.10779
111.8520797	+05.2257853	    25	 0.00501668	 	12.500	11.380	 9.820	 8.040	 6.490	 5.670	 4.830	      	      	      	      	8008	111.85208	+05.22579
111.8520797	+05.2257853	    25	 0.00501668	 	      	      	      	      	      	      	 4.860	 4.600	      	      	 5.110	8130	111.85208	+05.22579
111.8520797	+05.2257853	    25	 0.00501668	 	      	      	      	      	      	 5.680	 4.860	 4.690	      	      	 5.100	8134	111.85208	+05.22579
111.8520797	+05.2257853	    25	 0.00501668	 	      	      	      	      	      	 5.680	 4.850	 4.650	      	      	 5.110	8149	111.85208	+05.22579
281.8375972	+05.4551697	    25	 0.00503950	 	      	      	 9.400	 6.990	 5.350	      	      	      	      	      	      	8141	281.83760	+05.45517
305.1023261	+06.0313383	    30	 0.00504481	 	10.690	10.720	10.110	 9.530	      	      	      	      	      	      	      	8104	305.10233	+06.03134
