Source	IRASPSC	RA	Dec	Kmag	Per	Teff	Lum	AdoptedD	AdoptedDErr	PLD	PLDErr
02_19_20.81_-02_58_39.9	02168-0312	34.8367083333333	-2.97775	-3.05167	332.7	3331.7117779370164	4616.930667628849	62.0	0	97.6769	26.1421
06_04_00.04_+07_25_52.2	06012+0726	91.0001666666667	7.43116666666667	5.87905	696.0	691.6810274124146	nan	1000.0	0	9773.88	1461.6
09_07_59.77_-43_25_57.7	R09061-4313	136.999041666667	-43.4326944444444	-1.55555	273.2830342	3833.1127812713385	8777.645546457645	166.94275523127286	0	170.585	82.3225
16_06_08.36_-30_49_33.3	16029-3041	241.534833333333	-30.8259166666667	8.56504	561.0	566.35582447052	nan	1000.0	0	29154.7	41583.6
18_50_29.58_-47_59_10.0	18467-4802	282.62325	-47.9861111111111	4.14407	630.5	745.5387115478516	nan	1000.0	0	4115.26	615.055
18_55_20.48_+43_56_43.5	18537+4352	283.835333333333	43.9454166666667	-0.0081764	453	3660.4578680475242	414055.50650550344	1000.0	0	487.565	303.935
23_19_12.60_+17_11_33.3	23166+1655	349.8025	17.1925833333333	10.3094	696.0	374.4964599609375	nan	1000.0	0	75187.2	11243.6
Gaia_DR3_1001976876149044352	06363+5954	100.193568325697	59.8670668138581	1.46071	436.02	1900.042722709477	17537.46890825896	964.9881855643332	0	934.815	139.429
Gaia_DR3_1006571838322053888	06300+6058	98.6391512452777	60.9409617387217	0.86726	447	1693.3977603912354	nan	487.7349690119043	0	723.189	109.153
Gaia_DR3_1072330429027643008	10411+6902	161.159802139115	68.7756360005803	0.950043	301.32	2979.3546652793884	19249.00367437349	557.4540477553164	0	577.289	96.3431
Gaia_DR3_1114589544261128064	05559+7430	90.6343782048912	74.5075667562671	0.739348	523.22	3151.8581056350376	38174.61925050617	632.8819628830452	0	757.434	113.085
Gaia_DR3_1192855977386610688	15483+1517	237.673896001712	15.1334702913956	0.0657852	356.08	2099.662208557129	9111.438825156	472.4183332540638	0	429.522	63.9951
Gaia_DR3_1200834239913483392	16235+1900	246.44772982948	18.8924165600204	-0.658739	406.75	2064.920493758109	14261.188607379147	404.656928480534	0	336.262	50.1353
Gaia_DR3_1210769014663216896	15255+1944	231.946024310865	19.5643885949632	1.8236	428	1520.9925174713135	nan	697.075666479475	0	1091.24	162.744
Gaia_DR3_1277100833181749760	15193+3132	230.349761044718	31.3673294353439	-0.149455	360.58	2339.2268112301826	6975.43989881306	385.7352808167249	0	392.266	58.5251
Gaia_DR3_1303081537030212480	16081+2511	242.560476634972	25.0706126125221	-0.00726651	487.86	1900.2348240697756	19629.29747018896	684.4243138722185	0	512.533	101.051
Gaia_DR3_1398822783330261248	16011+4722	240.662771615278	47.2406306997755	-1.37728	521	3118.534342199564	2953.1548456660544	125.45002646579304	0	284.961	43.2575
Gaia_DR3_1402893450252244224	15492+4837	237.694269154054	48.4829175382599	-0.615149	400	2800.0098017155688	11485.355104188498	292.55389261634446	0	339.266	51.8352
Gaia_DR3_151991956233260160	04328+2824	68.9883858567826	28.5145434046712	1.02754	420	3543.191533088684	47515.81029796673	726.7366204417289	0	746.849	111.371
Gaia_DR3_1550641356029736576	13172+4547	199.865449052378	45.5270729269319	1.15119	189	3365.310389176011	9112.759743722263	499.89222741268026	0	463.776	224.091
Gaia_DR3_1621259036510505344	14567+6607	224.39500734292	65.9325976765071	-0.91227	401	3430.5902776759467	1348.7660951339185	101.47592824594321	0	296.374	44.187
Gaia_DR3_1653382471306715264	16306+7223	247.491392929317	72.2803859974043	0.0610229	612	2534.5936225913465	5919.430757063815	371.214478	0	615.387	98.0788
Gaia_DR3_1670096491156730496	14162+6701	214.332925031422	66.7942559198708	0.716428	326.27	2272.709109823918	5900.515202459353	523.0876808030536	0	546.7	92.723
Gaia_DR3_1708259612045319808	15314+7847	232.393373568416	78.6334405977407	0.182188	326.75	2866.789141833724	4851.781596295497	369.4617989436703	0	427.886	66.0055
Gaia_DR3_1731164844433296128	20547+0247	314.317891270195	2.97899192045452	8.36602	326.2336779	5124.815110862255	36960.434738559445	4933.515508243021	0	18519.8	2758.04
Gaia_DR3_1742743698306049152	21286+1055	322.76729352551	11.1536991791415	1.40606	456.5	1536.7584228515625	nan	356.66445082345865	0	939.966	428.236
Gaia_DR3_1787887927756198784	21305+2118	323.223507142172	21.5335064013357	4.94761	86.3180707	1215.3282165527344	nan	4815.55371	0	1578.46	760.891
Gaia_DR3_1826002498358611712	19352+2030	294.349951950263	20.6160667889323	7.6141	436.9284257	1421.7357635498047	nan	1000.0	0	15922.4	2374.88
Gaia_DR3_190064333056824832	05384+3854	85.4832638219587	38.9335589707439	0.616258	454.04	2438.5303812101483	5930.587204016379	521.3482668225134	0	651.005	97.1199
Gaia_DR3_1911189532517047936	23077+3329	347.537095970855	33.7676589648638	0.0356067	61.6833085	3363.6592596798437	1898.1578737794034	193.7878440098813	0	131.325	63.4264
Gaia_DR3_1917374525942264704	23182+3920	350.156606029633	39.6205768133168	1.91722	392.33	2202.716563940048	11502.781424869534	1039.2766859268036	0	1074.97	160.244
Gaia_DR3_1923325701344651136	23212+3927	350.91620549018	39.7269297740397	0.62603	381.86	1787.079095840454	nan	483.00309839068575	0	582.522	88.0855
Gaia_DR3_1925728099897901056	23425+4338	356.259605893585	43.923879749647	1.80739	419	2032.13139728643	15447.50833182322	1172.1060124880948	0	1067.85	173.475
Gaia_DR3_1939812706413885184	23528+4821	358.840701015514	48.6382063774369	0.145561	198	3156.7839628458023	7115.1779562232205	385.3613512868098	0	301.078	145.253
Gaia_DR3_1944073004732961152	23558+5106	359.604207873711	51.3888868884341	-1.87026	430.25	2018.6103075742722	8807.028507870351	173.63481234656868	0	199.833	29.8034
Gaia_DR3_1965835329142007168	21320+3850	323.531163049904	39.0710844840908	0.707892	474	1656.1126708984375	nan	706.5511829240769	0	698.864	104.284
Gaia_DR3_1977100856572910336	21341+4508	324.010798186502	45.3745906877856	-1.28486	131.39999999999998	3238.7724326108582	6482.865020703435	185.27824817688375	0	118.48	57.3483
Gaia_DR3_1993001306528852608	23365+5159	354.755941773517	52.262456339053	0.131118	442.4430895	3192.6796373724937	40918.52587648264	846.9730804625586	0	511.741	80.8751
Gaia_DR3_1994998221499466240	23554+5612	359.505459553332	56.487055664964	1.62313	480.63	3396.0848532244563	121544.46808211703	1179.8146136117339	0	1075.15	160.446
Gaia_DR3_1997999342793591936	23420+5618	356.131728271435	56.5813746994956	0.96661	497.31	2999.887347256299	38477.38574578643	1041.4084031876978	0	812.948	121.34
Gaia_DR3_2012763997254389632	23496+6131	358.020512898004	61.8034735778545	1.52209	565.6028889	1724.7164249420166	nan	894.9393619312624	0	1144.17	170.899
