IRASPSC	F450	e_F450	F850	e_F850	SIMBAD	Otype	RA	Dec	SpType
IRAS 00042+4248	-	-	68.8	5.5	V* KU And	Mi*	1.71981330291667	43.0839878360556	M10
IRAS 00192-2020	-	-	35	5.4	V* T Cet	S*	5.4428049075	-20.0580235627778	M5-6Se
IRAS 01159+7220	-	-	110.7	8.9	V* S Cas	S*	19.92489701375	72.6113493223611	S3-54-8
IRAS 02316+6455	-	-	40.3	5	V* V656 Cas	Mi*	38.93613443	65.14970297425	M9.5III
IRAS 02351-2711	-	-	49.6	6.1	V* UU For	Mi*	39.3460914754167	-26.9784168289444	M9
IRAS 03149+3244	-	-	<14.2	>-12.6	BD+32 599	V*	49.5166541141667	32.9208277573055	M8
IRAS 03170+3150	-	-	<13.6	>-12.7	V* UZ Per	LP*	50.0249461591667	32.0216613955	M5II-III
IRAS 03206+6521	-	-	11.7	2.9	OH 138.0 +7.2	OH*	51.285025	65.5352944444445	~
IRAS 03229+4721	-	-	182.5	14.6	LEE 259	C*	51.6229376591667	47.5301286387778	N
IRAS 04166+4056	-	-	14.4	4.6	V* IR Per	Mi*	65.0131864545833	41.0639232089167	M9
IRAS 04387-3819	-	-	37.4	6.3	V* R Cae	Mi*	70.1253511816667	-38.2352554476111	M6e
IRAS 04566+5606	653.5	68.6	227.4	18.2	V* TX Cam	Mi*	75.2131541495833	56.1816925297222	M9-9.5
IRAS 05027-2158	-	-	25.1	5.2	V* T Lep	Mi*	76.2118560220833	-21.9045867412778	M6ev
IRAS 05028+0106	359.5	61.6	54.8	4.4	V* W Ori	C*	76.3488341179167	1.17762753330556	C-N5
IRAS 05073+5248	-	-	59.5	5.5	IRC +50137	Mi*	77.8310373120833	52.87589515225	M10
IRAS 05090-1154	-	-	39.4	5.1	V* RX Lep	AB*	77.84529809375	-11.8490895030556	M6III
IRAS 05132+5331	234	61.7	68.4	5.5	V* R Aur	S*	79.3236848070833	53.58611722875	M6.5-8.5e
IRAS 05151+6312	-	-	32.6	4.9	IRC +60154	OH*	79.9672763320833	63.2652661501667	M9
IRAS 05251-1244	415.1	107.3	508.3	40.7	IC 418	PN	81.8675251429167	-12.6973007386111	O7fp
IRAS 05265-0443	-	-	27.8	5.8	V* S Ori	Mi*	82.2537203625	-4.69243520308333	M6.5-7.5e
IRAS 05292+1833	-	-	22.1	5	* 119 Tau	s*r	83.0531354466667	18.5942343302778	M2Iab-Ib
IRAS 05351-0147	-	-	11.7	4.8	V* X Ori	Mi*	84.41108064625	-1.77127548052778	M9
IRAS 05411+6957	423.7	87.7	92.2	7.4	IRC +70066	Mi*	86.6846878225	69.9734466730556	M9.5
IRAS 05559+7430	245.6	65.3	44.6	5.2	V* V Cam	Mi*	90.6344213208334	74.5075574657222	M7
IRAS 05592-0221	-	-	12	2.6	V* V352 Ori	LP*	90.4455083333333	-2.35377222222222	M6III
